id,behavior
11, MB_JUMP_SOUTH
12, MB_JUMP_EAST
13, MB_JUMP_SOUTH
14, MB_JUMP_SOUTH
15, MB_JUMP_NORTHEAST
19, MB_JUMP_WEST
20, MB_JUMP_EAST
21, MB_NORTH_ARROW_WARP
23, MB_JUMP_NORTHEAST
28, MB_JUMP_SOUTHWEST
29, MB_SOUTH_ARROW_WARP
31, MB_JUMP_SOUTHEAST
80,MB_TALL_GRASS
81,MB_TALL_GRASS
82,MB_TALL_GRASS
83,MB_TALL_GRASS
84,MB_TALL_GRASS
85,MB_TALL_GRASS
88,MB_TALL_GRASS
89,MB_TALL_GRASS
90,MB_TALL_GRASS
91,MB_TALL_GRASS
92,MB_TALL_GRASS
93,MB_TALL_GRASS
96,MB_TALL_GRASS
97,MB_TALL_GRASS
98,MB_TALL_GRASS
99,MB_TALL_GRASS
100,MB_TALL_GRASS
101,MB_TALL_GRASS
104,MB_TALL_GRASS
