id,behavior
3,MB_EMPTY_BASKET
4,MB_CLAY_POT
6,MB_CLAY_FURNACE
7,MB_CLAY_FURNACE
10,MB_BONSAI
11,MB_EMPTY_BASKET
12,MB_CLAY_POT
23,MB_SCROLL
26,MB_BONSAI
27,MB_GONG
28,MB_GONG
37,MB_TEACUP
38,MB_TEAPOT
43,MB_BED
45,MB_TEACUP
46,MB_SCROLL
0,MB_HOLDS_LARGE_DECORATION
1,MB_HOLDS_LARGE_DECORATION
31,MB_HOLDS_SMALL_DECORATION
40,MB_HOLDS_SMALL_DECORATION
41,MB_HOLDS_SMALL_DECORATION
48,MB_HOLDS_SMALL_DECORATION
49,MB_HOLDS_SMALL_DECORATION
59,MB_HOLDS_SMALL_DECORATION
60,MB_HOLDS_SMALL_DECORATION
61,MB_HOLDS_SMALL_DECORATION
67,MB_HOLDS_SMALL_DECORATION
68,MB_HOLDS_SMALL_DECORATION
69,MB_HOLDS_SMALL_DECORATION
75,MB_HOLDS_SMALL_DECORATION
76,MB_HOLDS_SMALL_DECORATION
77,MB_HOLDS_SMALL_DECORATION
