id,behavior
0,MB_DEEP_WATER
2,MB_DEEP_WATER
3,MB_DEEP_WATER
5,MB_SHALLOW_WATER
6,MB_SHALLOW_WATER
7,MB_SHALLOW_WATER
10,MB_DEEP_WATER
11,MB_DEEP_WATER
13,MB_SHALLOW_WATER
15,MB_SHALLOW_WATER
21,MB_SHALLOW_WATER
22,MB_SHALLOW_WATER
23,MB_SHALLOW_WATER
40,MB_OCEAN_WATER
41,MB_OCEAN_ENCOUNTER_WATER
42,MB_OCEAN_ENCOUNTER_WATER
43,MB_OCEAN_ENCOUNTER_WATER
45,MB_SHALLOW_WATER
46,MB_SHALLOW_WATER
47,MB_SHALLOW_WATER
50,MB_OCEAN_ENCOUNTER_WATER
51,MB_OCEAN_ENCOUNTER_WATER
53,MB_SHALLOW_WATER
55,MB_SHALLOW_WATER
61,MB_SHALLOW_WATER
62,MB_SHALLOW_WATER
63,MB_SHALLOW_WATER
100,MB_CHATOT_PERCH
104,MB_OCEAN_WATER
105,MB_OCEAN_WATER
