id,behavior
0,MB_LONG_GRASS
1,MB_JUMP_SOUTH
2,MB_JUMP_EAST
3,MB_JUMP_WEST
4,MB_JUMP_EAST
5,MB_JUMP_WEST
6,MB_JUMP_EAST
8,MB_PUDDLE
9,MB_JUMP_SOUTH
10,MB_JUMP_SOUTH
13,MB_JUMP_WEST
14,MB_JUMP_EAST
22,MB_PUDDLE
23,MB_PUDDLE
27,MB_PUDDLE
28,MB_PUDDLE
29,MB_PUDDLE
30,MB_PUDDLE
31,MB_LONG_GRASS
35,MB_PUDDLE
36,MB_PUDDLE
37,MB_PUDDLE
38,MB_JUMP_SOUTH
39,MB_JUMP_EAST
46,MB_JUMP_SOUTH
47,MB_JUMP_SOUTH
54,MB_JUMP_WEST
55,MB_JUMP_EAST
70,MB_JUMP_WEST
71,MB_JUMP_EAST
78,MB_JUMP_WEST
79,MB_JUMP_EAST
