id,behavior
1,MB_POND_WATER
2,MB_POND_WATER
3,MB_POND_WATER
4,MB_POND_WATER
7,MB_POND_WATER
15,MB_POND_WATER
26,MB_POND_WATER
27,MB_POND_WATER
28,MB_POND_WATER
32,MB_POND_WATER
33,MB_POND_WATER
34,MB_POND_WATER
8,MB_SIDEWAYS_STAIRS_LEFT_SIDE_TOP
16,MB_SIDEWAYS_STAIRS_LEFT_SIDE
24,MB_SIDEWAYS_STAIRS_LEFT_SIDE_BOTTOM
14,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_TOP
22,MB_SIDEWAYS_STAIRS_RIGHT_SIDE
30,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_BOTTOM
9,MB_BRIDGE_OVER_POND_HIGH_EDGE_1
10,MB_BRIDGE_OVER_POND_HIGH
11,MB_BRIDGE_OVER_POND_HIGH
12,MB_BRIDGE_OVER_POND_HIGH
13,MB_BRIDGE_OVER_POND_HIGH_EDGE_1
17,MB_BRIDGE_OVER_POND_HIGH_EDGE_2
18,MB_BRIDGE_OVER_POND_HIGH
19,MB_BRIDGE_OVER_POND_HIGH
20,MB_BRIDGE_OVER_POND_HIGH
21,MB_BRIDGE_OVER_POND_HIGH_EDGE_2
