id,behavior
4,MB_LONG_GRASS
8,MB_TALL_GRASS
12,MB_LONG_GRASS_SOUTH_EDGE
40,MB_NORTH_ARROW_WARP
47,MB_SIGN_WRONG_DIR
48,MB_NORTH_ARROW_WARP
50,MB_SIGN_WRONG_DIR
51,MB_SIGN_WRONG_DIR
52,MB_SIGN_WRONG_DIR
53,MB_SIGN_WRONG_DIR
55,MB_SIGN_WRONG_DIR
63,MB_SIGN_WRONG_DIR
78,MB_REGULAR_SEASHELL
115,MB_NON_ANIMATED_DOOR
123,MB_NON_ANIMATED_DOOR
156,MB_OCEAN_WATER
157,MB_PUDDLE
158,MB_PUDDLE
159,MB_PUDDLE
163,MB_OCEAN_WATER
164,MB_OCEAN_WATER
165,MB_PUDDLE
166,MB_PUDDLE
167,MB_PUDDLE
171,MB_OCEAN_WATER
172,MB_OCEAN_WATER
173,MB_PUDDLE
174,MB_PUDDLE
175,MB_PUDDLE
181,MB_OCEAN_WATER
182,MB_OCEAN_WATER
183,MB_OCEAN_WATER
189,MB_OCEAN_WATER
191,MB_OCEAN_WATER
195,MB_STAIRS_SIDEWAYS
196,MB_STAIRS_SIDEWAYS
197,MB_OCEAN_WATER
198,MB_OCEAN_WATER
199,MB_OCEAN_WATER
203,MB_STAIRS_SIDEWAYS
204,MB_STAIRS_SIDEWAYS
327,MB_SIGN_WRONG_DIR
335,MB_SIGN_WRONG_DIR
329,MB_NON_ANIMATED_DOOR
347,MB_NON_ANIMATED_DOOR
351,MB_EMPTY_CHEST
359,MB_EMPTY_CHEST
367,MB_EMPTY_CHEST
374,MB_EMPTY_CHEST
